#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_000_1 --chrom 1
getChromDepth_sample000_estimateChromDepth_001_2		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_001_2 --chrom 2
getChromDepth_sample000_estimateChromDepth_002_3		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_002_3 --chrom 3
getChromDepth_sample000_estimateChromDepth_004_5		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_004_5 --chrom 5
getChromDepth_sample000_estimateChromDepth_005_6		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_005_6 --chrom 6
getChromDepth_sample000_estimateChromDepth_006_7		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_006_7 --chrom 7
getChromDepth_sample000_estimateChromDepth_008_9		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_008_9 --chrom 9
getChromDepth_sample000_estimateChromDepth_009_10		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_009_10 --chrom 10
