#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_makeTmpDir		complete	0	2022-07-26T06:08:07.808147Z
getChromDepth_sample000_makeTmpDir		complete	0	2022-07-26T06:08:07.874478Z
getChromDepth_sample000_estimateChromDepth_000_1		complete	0	2022-07-26T06:08:27.941172Z
getChromDepth_sample000_estimateChromDepth_001_2		complete	0	2022-07-26T06:08:27.374921Z
getChromDepth_sample000_estimateChromDepth_002_3		complete	0	2022-07-26T06:08:25.780649Z
getChromDepth_sample000_estimateChromDepth_004_5		complete	0	2022-07-26T06:08:24.672308Z
getChromDepth_sample000_estimateChromDepth_005_6		complete	0	2022-07-26T06:08:24.736396Z
getChromDepth_sample000_estimateChromDepth_006_7		complete	0	2022-07-26T06:08:24.850561Z
getChromDepth_sample000_estimateChromDepth_008_9		complete	0	2022-07-26T06:08:26.695823Z
getChromDepth_sample000_estimateChromDepth_009_10		complete	0	2022-07-26T06:08:23.291854Z
getChromDepth_sample000_estimateChromDepth_011_12		complete	0	2022-07-26T06:08:23.856828Z
getChromDepth_sample000_estimateChromDepth_013_14		complete	0	2022-07-26T06:08:25.015620Z
getChromDepth_sample000_estimateChromDepth_014_15		complete	0	2022-07-26T06:08:26.809998Z
getChromDepth_sample000_estimateChromDepth_015_16		complete	0	2022-07-26T06:08:22.112086Z
getChromDepth_sample000_estimateChromDepth_016_17		complete	0	2022-07-26T06:08:24.850971Z
getChromDepth_sample000_estimateChromDepth_017_18		complete	0	2022-07-26T06:08:19.329351Z
getChromDepth_sample000_estimateChromDepth_018_19		complete	0	2022-07-26T06:08:22.326421Z
getChromDepth_sample000_estimateChromDepth_021_22		complete	0	2022-07-26T06:08:19.844447Z
getChromDepth_sample000_estimateChromDepth_022_X		complete	0	2022-07-26T06:08:25.015163Z
getChromDepth_sample000_catChromDepth		complete	0	2022-07-26T06:08:33.210887Z
getChromDepth_mergeChromDepth		complete	0	2022-07-26T06:08:38.479765Z
getChromDepth_removeTmpDir		complete	0	2022-07-26T06:08:38.558889Z
CallGenome		complete	0	2022-07-26T06:09:43.528016Z
makeTmpDir	CallGenome	complete	0	2022-07-26T06:08:38.564357Z
callGenomeSegment_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:09:24.825368Z
fixVcfHeader_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:09:25.004154Z
compressSegmentOutput_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:09:25.183217Z
callGenomeSegment_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:08:40.463075Z
compressSegmentOutput_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:08:44.335083Z
callGenomeSegment_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:08:40.467803Z
compressSegmentOutput_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:08:43.424766Z
callGenomeSegment_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:08:40.465399Z
compressSegmentOutput_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:08:43.426719Z
callGenomeSegment_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:08:39.269011Z
compressSegmentOutput_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:08:40.460236Z
callGenomeSegment_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:08:40.465746Z
compressSegmentOutput_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:08:48.062741Z
callGenomeSegment_chromId_000_1_0006	CallGenome	complete	0	2022-07-26T06:08:39.268611Z
compressSegmentOutput_chromId_000_1_0006	CallGenome	complete	0	2022-07-26T06:08:40.464685Z
callGenomeSegment_chromId_000_1_0007	CallGenome	complete	0	2022-07-26T06:08:40.465034Z
compressSegmentOutput_chromId_000_1_0007	CallGenome	complete	0	2022-07-26T06:08:44.323370Z
callGenomeSegment_chromId_000_1_0008	CallGenome	complete	0	2022-07-26T06:08:40.464236Z
compressSegmentOutput_chromId_000_1_0008	CallGenome	complete	0	2022-07-26T06:08:48.028091Z
callGenomeSegment_chromId_000_1_0009	CallGenome	complete	0	2022-07-26T06:08:39.270100Z
compressSegmentOutput_chromId_000_1_0009	CallGenome	complete	0	2022-07-26T06:08:48.830460Z
callGenomeSegment_chromId_000_1_0010	CallGenome	complete	0	2022-07-26T06:08:40.466781Z
compressSegmentOutput_chromId_000_1_0010	CallGenome	complete	0	2022-07-26T06:08:55.821647Z
callGenomeSegment_chromId_000_1_0011	CallGenome	complete	0	2022-07-26T06:08:39.269748Z
compressSegmentOutput_chromId_000_1_0011	CallGenome	complete	0	2022-07-26T06:08:48.829194Z
callGenomeSegment_chromId_000_1_0012	CallGenome	complete	0	2022-07-26T06:08:40.462741Z
compressSegmentOutput_chromId_000_1_0012	CallGenome	complete	0	2022-07-26T06:08:41.579231Z
callGenomeSegment_chromId_000_1_0013	CallGenome	complete	0	2022-07-26T06:08:40.463455Z
compressSegmentOutput_chromId_000_1_0013	CallGenome	complete	0	2022-07-26T06:08:41.589785Z
callGenomeSegment_chromId_000_1_0014	CallGenome	complete	0	2022-07-26T06:08:39.260335Z
compressSegmentOutput_chromId_000_1_0014	CallGenome	complete	0	2022-07-26T06:08:45.438172Z
callGenomeSegment_chromId_000_1_0015	CallGenome	complete	0	2022-07-26T06:08:39.270909Z
compressSegmentOutput_chromId_000_1_0015	CallGenome	complete	0	2022-07-26T06:08:54.356247Z
callGenomeSegment_chromId_000_1_0016	CallGenome	complete	0	2022-07-26T06:08:40.461335Z
compressSegmentOutput_chromId_000_1_0016	CallGenome	complete	0	2022-07-26T06:08:54.348418Z
callGenomeSegment_chromId_000_1_0017	CallGenome	complete	0	2022-07-26T06:08:40.468161Z
compressSegmentOutput_chromId_000_1_0017	CallGenome	complete	0	2022-07-26T06:08:44.336087Z
callGenomeSegment_chromId_000_1_0018	CallGenome	complete	0	2022-07-26T06:08:40.466082Z
compressSegmentOutput_chromId_000_1_0018	CallGenome	complete	0	2022-07-26T06:08:52.968502Z
callGenomeSegment_chromId_000_1_0019	CallGenome	complete	0	2022-07-26T06:08:39.264589Z
compressSegmentOutput_chromId_000_1_0019	CallGenome	complete	0	2022-07-26T06:08:50.286551Z
callGenomeSegment_chromId_000_1_0020	CallGenome	complete	0	2022-07-26T06:09:26.144504Z
compressSegmentOutput_chromId_000_1_0020	CallGenome	complete	0	2022-07-26T06:09:26.323220Z
callGenomeSegment_chromId_001_2_0000	CallGenome	complete	0	2022-07-26T06:08:39.269377Z
compressSegmentOutput_chromId_001_2_0000	CallGenome	complete	0	2022-07-26T06:08:52.970660Z
callGenomeSegment_chromId_001_2_0001	CallGenome	complete	0	2022-07-26T06:08:40.467119Z
compressSegmentOutput_chromId_001_2_0001	CallGenome	complete	0	2022-07-26T06:08:48.827475Z
callGenomeSegment_chromId_001_2_0002	CallGenome	complete	0	2022-07-26T06:08:39.270474Z
compressSegmentOutput_chromId_001_2_0002	CallGenome	complete	0	2022-07-26T06:08:54.961896Z
callGenomeSegment_chromId_001_2_0003	CallGenome	complete	0	2022-07-26T06:08:40.468504Z
compressSegmentOutput_chromId_001_2_0003	CallGenome	complete	0	2022-07-26T06:08:51.024276Z
callGenomeSegment_chromId_001_2_0004	CallGenome	complete	0	2022-07-26T06:08:40.463812Z
compressSegmentOutput_chromId_001_2_0004	CallGenome	complete	0	2022-07-26T06:08:55.346853Z
callGenomeSegment_chromId_001_2_0005	CallGenome	complete	0	2022-07-26T06:08:40.466439Z
compressSegmentOutput_chromId_001_2_0005	CallGenome	complete	0	2022-07-26T06:08:51.675145Z
callGenomeSegment_chromId_001_2_0006	CallGenome	complete	0	2022-07-26T06:08:40.457493Z
compressSegmentOutput_chromId_001_2_0006	CallGenome	complete	0	2022-07-26T06:08:48.062397Z
callGenomeSegment_chromId_001_2_0007	CallGenome	complete	0	2022-07-26T06:08:41.589467Z
compressSegmentOutput_chromId_001_2_0007	CallGenome	complete	0	2022-07-26T06:08:44.331506Z
callGenomeSegment_chromId_001_2_0008	CallGenome	complete	0	2022-07-26T06:08:48.061665Z
compressSegmentOutput_chromId_001_2_0008	CallGenome	complete	0	2022-07-26T06:08:51.035659Z
callGenomeSegment_chromId_001_2_0009	CallGenome	complete	0	2022-07-26T06:08:41.590111Z
compressSegmentOutput_chromId_001_2_0009	CallGenome	complete	0	2022-07-26T06:08:44.330471Z
callGenomeSegment_chromId_001_2_0010	CallGenome	complete	0	2022-07-26T06:08:46.288512Z
compressSegmentOutput_chromId_001_2_0010	CallGenome	complete	0	2022-07-26T06:08:48.038579Z
callGenomeSegment_chromId_001_2_0011	CallGenome	complete	0	2022-07-26T06:08:41.589135Z
compressSegmentOutput_chromId_001_2_0011	CallGenome	complete	0	2022-07-26T06:08:42.442442Z
callGenomeSegment_chromId_001_2_0012	CallGenome	complete	0	2022-07-26T06:09:15.845391Z
compressSegmentOutput_chromId_001_2_0012	CallGenome	complete	0	2022-07-26T06:09:16.082382Z
