#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_makeTmpDir		complete	0	2022-07-26T06:14:57.895775Z
getChromDepth_sample000_makeTmpDir		complete	0	2022-07-26T06:14:57.962164Z
getChromDepth_sample000_estimateChromDepth_000_1		complete	0	2022-07-26T06:15:14.695770Z
getChromDepth_sample000_estimateChromDepth_001_2		complete	0	2022-07-26T06:15:14.531359Z
getChromDepth_sample000_estimateChromDepth_002_3		complete	0	2022-07-26T06:15:14.811644Z
getChromDepth_sample000_estimateChromDepth_003_4		complete	0	2022-07-26T06:15:14.515382Z
getChromDepth_sample000_estimateChromDepth_004_5		complete	0	2022-07-26T06:15:08.549826Z
getChromDepth_sample000_estimateChromDepth_005_6		complete	0	2022-07-26T06:15:07.584686Z
getChromDepth_sample000_estimateChromDepth_006_7		complete	0	2022-07-26T06:15:07.575549Z
getChromDepth_sample000_estimateChromDepth_007_8		complete	0	2022-07-26T06:15:07.010790Z
getChromDepth_sample000_estimateChromDepth_008_9		complete	0	2022-07-26T06:15:05.715098Z
getChromDepth_sample000_estimateChromDepth_009_10		complete	0	2022-07-26T06:15:05.536795Z
getChromDepth_sample000_estimateChromDepth_010_11		complete	0	2022-07-26T06:15:06.930834Z
getChromDepth_sample000_estimateChromDepth_011_12		complete	0	2022-07-26T06:15:05.600892Z
getChromDepth_sample000_estimateChromDepth_012_13		complete	0	2022-07-26T06:15:04.621261Z
getChromDepth_sample000_estimateChromDepth_013_14		complete	0	2022-07-26T06:15:04.442712Z
getChromDepth_sample000_estimateChromDepth_014_15		complete	0	2022-07-26T06:15:04.178387Z
getChromDepth_sample000_estimateChromDepth_015_16		complete	0	2022-07-26T06:15:03.749714Z
getChromDepth_sample000_estimateChromDepth_016_17		complete	0	2022-07-26T06:15:04.506849Z
getChromDepth_sample000_estimateChromDepth_017_18		complete	0	2022-07-26T06:15:04.064206Z
getChromDepth_sample000_estimateChromDepth_018_19		complete	0	2022-07-26T06:15:03.184899Z
getChromDepth_sample000_estimateChromDepth_019_20		complete	0	2022-07-26T06:15:02.770295Z
getChromDepth_sample000_estimateChromDepth_020_21		complete	0	2022-07-26T06:15:02.105374Z
getChromDepth_sample000_estimateChromDepth_021_22		complete	0	2022-07-26T06:15:01.140063Z
getChromDepth_sample000_estimateChromDepth_022_X		complete	0	2022-07-26T06:15:07.010374Z
getChromDepth_sample000_estimateChromDepth_023_Y		complete	0	2022-07-26T06:15:00.574962Z
getChromDepth_sample000_catChromDepth		complete	0	2022-07-26T06:15:20.080780Z
getChromDepth_mergeChromDepth		complete	0	2022-07-26T06:15:25.349810Z
getChromDepth_removeTmpDir		complete	0	2022-07-26T06:15:25.425450Z
CallGenome		complete	0	2022-07-26T06:44:41.694213Z
makeTmpDir	CallGenome	complete	0	2022-07-26T06:15:25.432067Z
callGenomeSegment_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:38:47.668526Z
fixVcfHeader_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:38:49.157602Z
compressSegmentOutput_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:38:50.206528Z
callGenomeSegment_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:39:22.482858Z
compressSegmentOutput_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:39:23.423469Z
callGenomeSegment_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:41:41.105600Z
compressSegmentOutput_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:41:41.665572Z
callGenomeSegment_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:43:11.949807Z
compressSegmentOutput_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:43:12.281890Z
callGenomeSegment_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:32:03.538631Z
compressSegmentOutput_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:32:04.535478Z
callGenomeSegment_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:28:03.245470Z
compressSegmentOutput_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:28:04.311568Z
