#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_makeTmpDir		complete	0	2022-07-26T06:15:08.189609Z
getChromDepth_sample000_makeTmpDir		complete	0	2022-07-26T06:15:08.262751Z
getChromDepth_sample000_estimateChromDepth_000_1		complete	0	2022-07-26T06:15:26.558188Z
getChromDepth_sample000_estimateChromDepth_001_2		complete	0	2022-07-26T06:15:22.929861Z
getChromDepth_sample000_estimateChromDepth_002_3		complete	0	2022-07-26T06:15:21.519609Z
getChromDepth_sample000_estimateChromDepth_003_4		complete	0	2022-07-26T06:15:21.355362Z
getChromDepth_sample000_estimateChromDepth_004_5		complete	0	2022-07-26T06:15:22.064643Z
getChromDepth_sample000_estimateChromDepth_005_6		complete	0	2022-07-26T06:15:20.926462Z
getChromDepth_sample000_estimateChromDepth_006_7		complete	0	2022-07-26T06:15:21.950528Z
getChromDepth_sample000_estimateChromDepth_007_8		complete	0	2022-07-26T06:15:20.081095Z
getChromDepth_sample000_estimateChromDepth_008_9		complete	0	2022-07-26T06:15:20.361618Z
getChromDepth_sample000_estimateChromDepth_009_10		complete	0	2022-07-26T06:15:21.040935Z
getChromDepth_sample000_estimateChromDepth_010_11		complete	0	2022-07-26T06:15:20.145408Z
getChromDepth_sample000_estimateChromDepth_011_12		complete	0	2022-07-26T06:15:20.926862Z
getChromDepth_sample000_estimateChromDepth_012_13		complete	0	2022-07-26T06:15:17.421028Z
getChromDepth_sample000_estimateChromDepth_013_14		complete	0	2022-07-26T06:15:17.242680Z
getChromDepth_sample000_estimateChromDepth_014_15		complete	0	2022-07-26T06:15:18.236297Z
getChromDepth_sample000_estimateChromDepth_015_16		complete	0	2022-07-26T06:15:18.851162Z
getChromDepth_sample000_estimateChromDepth_016_17		complete	0	2022-07-26T06:15:18.915268Z
getChromDepth_sample000_estimateChromDepth_017_18		complete	0	2022-07-26T06:15:16.026937Z
getChromDepth_sample000_estimateChromDepth_018_19		complete	0	2022-07-26T06:15:17.356878Z
getChromDepth_sample000_estimateChromDepth_019_20		complete	0	2022-07-26T06:15:15.762558Z
getChromDepth_sample000_estimateChromDepth_020_21		complete	0	2022-07-26T06:15:13.431120Z
getChromDepth_sample000_estimateChromDepth_021_22		complete	0	2022-07-26T06:15:13.545350Z
getChromDepth_sample000_estimateChromDepth_022_X		complete	0	2022-07-26T06:15:21.683853Z
getChromDepth_sample000_estimateChromDepth_023_Y		complete	0	2022-07-26T06:15:10.863117Z
getChromDepth_sample000_catChromDepth		complete	0	2022-07-26T06:15:31.827015Z
getChromDepth_mergeChromDepth		complete	0	2022-07-26T06:15:37.095441Z
getChromDepth_removeTmpDir		complete	0	2022-07-26T06:15:37.146906Z
CallGenome		complete	0	2022-07-26T06:57:12.373114Z
makeTmpDir	CallGenome	complete	0	2022-07-26T06:15:37.174668Z
callGenomeSegment_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:39:24.543293Z
fixVcfHeader_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:39:25.994329Z
compressSegmentOutput_chromId_000_1_0000	CallGenome	complete	0	2022-07-26T06:39:26.995599Z
callGenomeSegment_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:37:24.626673Z
compressSegmentOutput_chromId_000_1_0001	CallGenome	complete	0	2022-07-26T06:37:25.674914Z
callGenomeSegment_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:39:33.665196Z
compressSegmentOutput_chromId_000_1_0002	CallGenome	complete	0	2022-07-26T06:39:34.664537Z
callGenomeSegment_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:41:00.471664Z
compressSegmentOutput_chromId_000_1_0003	CallGenome	complete	0	2022-07-26T06:41:01.470741Z
callGenomeSegment_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:28:43.110027Z
compressSegmentOutput_chromId_000_1_0004	CallGenome	complete	0	2022-07-26T06:39:30.973354Z
callGenomeSegment_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:24:03.825112Z
compressSegmentOutput_chromId_000_1_0005	CallGenome	complete	0	2022-07-26T06:24:04.842742Z
callGenomeSegment_chromId_000_1_0006	CallGenome	complete	0	2022-07-26T06:21:15.371265Z
compressSegmentOutput_chromId_000_1_0006	CallGenome	complete	0	2022-07-26T06:28:09.758701Z
callGenomeSegment_chromId_000_1_0007	CallGenome	complete	0	2022-07-26T06:25:58.071582Z
compressSegmentOutput_chromId_000_1_0007	CallGenome	complete	0	2022-07-26T06:25:59.069521Z
callGenomeSegment_chromId_000_1_0008	CallGenome	complete	0	2022-07-26T06:20:05.047022Z
compressSegmentOutput_chromId_000_1_0008	CallGenome	complete	0	2022-07-26T06:41:36.752724Z
callGenomeSegment_chromId_000_1_0009	CallGenome	complete	0	2022-07-26T06:34:48.693588Z
compressSegmentOutput_chromId_000_1_0009	CallGenome	complete	0	2022-07-26T06:45:21.021857Z
callGenomeSegment_chromId_000_1_0010	CallGenome	complete	0	2022-07-26T06:17:39.044856Z
compressSegmentOutput_chromId_000_1_0010	CallGenome	complete	0	2022-07-26T06:24:05.876686Z
callGenomeSegment_chromId_000_1_0011	CallGenome	complete	0	2022-07-26T06:15:39.717040Z
compressSegmentOutput_chromId_000_1_0011	CallGenome	complete	0	2022-07-26T06:28:41.396881Z
callGenomeSegment_chromId_000_1_0012	CallGenome	complete	0	2022-07-26T06:32:27.835413Z
compressSegmentOutput_chromId_000_1_0012	CallGenome	complete	0	2022-07-26T06:51:07.540920Z
callGenomeSegment_chromId_000_1_0013	CallGenome	complete	0	2022-07-26T06:41:41.774361Z
compressSegmentOutput_chromId_000_1_0013	CallGenome	complete	0	2022-07-26T06:48:06.177561Z
callGenomeSegment_chromId_000_1_0014	CallGenome	complete	0	2022-07-26T06:27:59.453560Z
compressSegmentOutput_chromId_000_1_0014	CallGenome	complete	0	2022-07-26T06:47:19.298585Z
callGenomeSegment_chromId_000_1_0015	CallGenome	complete	0	2022-07-26T06:28:24.755482Z
compressSegmentOutput_chromId_000_1_0015	CallGenome	complete	0	2022-07-26T06:50:28.960474Z
callGenomeSegment_chromId_000_1_0016	CallGenome	complete	0	2022-07-26T06:23:09.805570Z
compressSegmentOutput_chromId_000_1_0016	CallGenome	complete	0	2022-07-26T06:48:08.160436Z
callGenomeSegment_chromId_000_1_0017	CallGenome	complete	0	2022-07-26T06:37:31.087705Z
compressSegmentOutput_chromId_000_1_0017	CallGenome	complete	0	2022-07-26T06:37:32.092499Z
callGenomeSegment_chromId_000_1_0018	CallGenome	complete	0	2022-07-26T06:23:58.743349Z
